Name;dL;WL;dR;WR
AC APX;42.5;36;42.5;36
AC APX;48;35;48;20
American Classic;42;38.5;42;18.5
American Classic;42;41;42;16
American Classic;42;36.5;42;20.5
American Classic;42;39;42;18
American Classic;42;34;42;23
American Classic;42;36.5;42;20.5
American Classic HD-140 disc;56.5;23;56.5;36
American Classic HD-240 Ultra-Light, 135mm Disk;66.2;29;66.2;19
American Classic HH-120 suspension;47;36;47;36
American Classic Micro, newer wider version;30;33.5;30;33.5
American Classic Speedster, older narrow version;30;25;30;25
American Classic Suspension small flange;47;36;47;36
American Classic track;42;34.5;42;34.5
American Classic track;42;30.5;42;30.5
American Classic Ultra-Light, 130mm;66.2;31;66.2;17
American Classic Ultra-Light, 135mm;66.2;29;66.2;19
American Classic Ultra-Light, CHECK DIAMETER!;42;29;42;19
Ariel;45;35;45;20
Bees;45;32;45;19
BikeE 16 hole disc hub;62.2;20.2;45.3;38.2
Bontrager ATB PN 200128 Superstock ;38;34.1;38;34.1
Bontrager ATB PN 200129 Superstock ;45;33.3;45;20.3
Bontrager ATB PN 200171 Race by Formula (semi-sealed bearings);38;34.95;38;35
Bontrager ATB PN 210240 Race ;45;38.7;45;20.3
Bontrager ATB PN 210248 Race Mod Disc by DT Swiss (Onyx);58;23.25;45;35.25
Bontrager ATB PN 210249 Race Mod Disc by DT Swiss (Onyx);58;33.75;58;20.35
Bontrager ATB PN 220028 Select Disc ;58;22.4;58;32.5
Bontrager ATB PN 220029 Select Disc ;58;34.4;58;20.4
Bontrager ATB PN 220196 Race by Formula (sealed bearings);42;32.75;42;32.75
Bontrager ATB PN 220197 Race by Formula (sealed bearings);45;38.45;58;20.25
Bontrager ATB PN 220200 Race Disc by Formula;58;16.7;45;27.2
Bontrager ATB PN 220201 Race Disc by Formula;58;33.85;58;20.25
Bontrager ATB PN 220628 Select ;38;34.05;38;34.05
Bontrager ATB PN 220629 Select ;45;33.25;45;20.25
