Name;ERD;OSB
700C  Ambrosio aero (with washers);604;0
700C  Ambrosio Crono;615;0
700C  Ambrosio Excellence;601.5;0
700C  Ambrosio Formula 20 Crono;618;0
700C  Ambrosio Crono F.20;610;0
700C  Ambrosio Metamorphosis;618;0
700C  Ambrosio Montreal!;618;0
700C  Ambrosio Montreal!;610.5;0
700C  Ambrosio Nemesis;617;0
700C  Ambrosio Nemesis 2000;610.5;0
700C  Ambrosio Synthesis;618;0
700C  Ambrosio Thesis;594;0
700C  Ambrosio Tour de France;605;0
700C  American Classic carbon fiber V rim;567;0
700C  Araya 16B Gold;618;0
700C  Araya 16B Red;618;0
700C  Araya 16BGOLDNEW track, classic tub, 335g;618;0
700C  Araya ADX-1;609;0
700C  Araya ADX-2;607;0
700C  Araya ADX-4;611;0
700C  Araya ADX-5;611;0
700C  Araya NEWADX-1S;606.3;0
700C  Araya Pro Staff 340;619;0
700C  Araya Pro Staff 400;619;0
700C  Araya R-50, classic tub, 415g;618;0
700C  Araya SA-230S Super Aero (30mm deep);581.4;0
700C  Araya Tita-Ace;618;0
700C  Bontrager PN 220042 Race X-Lite alu;595;0
700C  Bontrager PN 221065 Race X-Lite OCLV Carbon Aero;587;0
700C  Bontrager PN 221636 Race X-Lite alu OSB;598;1.5
700C  Bontrager PN 231573 Race X-Lite alu, new wider rim;595;0
700C  Bontrager PN 231574 Race X-Lite alu OSB, new wider rim;598;1.5
700C  Campagnolo Barcelona '92 (12mm tall);616;0
700C  Campagnolo Barcelona '92 (15mm tall);609;0
700C  Campagnolo Delta (box section);617;0
700C  Campagnolo Lambda (box section);617;0
700C  Campagnolo Los Angeles '84 ;615;0
700C  Campagnolo Omega (box section);617;0
700C  Campagnolo Record (box section);617;0
700C  Campagnolo Seoul '88 ;602;0
700C  Campagnolo Sigma (box section);617;0
700C  Campagnolo strada ;616;0
700C  Campagnolo V profile ;603;0
700C  Campagnolo Victory (box section);617;0
700C  Fiamme Ergal (Yellow Label);617;0
700C  Fiamme Ergal-Iride;617;0
700C  Fiamme Hard Silver;615;0
700C  Fiamme Master;617;0
700C  Fiamme Red Label;617;0
700C  Fiamme Speedy (track);617;0
700C  Fiamme Super Corsa;615;0
700C  FiR Alkor;617;0
700C  FiR Antara 2000;562;0
700C  FiR Isidis;617;0
700C  FiR Pulsar;617;0
700C  FiR Quasar;617;0
700C  FiR Sirus;617;0
700C  FiR ST120 (400g);616;0
700C  FiR ST120L (340g);616;0
700C  LEW Composite;572;0
700C  Matrix Iso ;611;0
700C  Mavic Argent 10;615;0
700C  Mavic Argent 12 SSC;616;0
700C  Mavic Argent 7;615;0
700C  Mavic Argent 8;615;0
700C  Mavic Bleu SSC;616;0
700C  Mavic CX18;616;0
700C  Mavic CXP30 (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);587;0
700C  Mavic GEL280;615;0
700C  Mavic GL330;615;0
700C  Mavic GP4 new angular (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);612;0
700C  Mavic GP4 old rounder;615;0
700C  Mavic Mach 2CD2 ;604;0
700C  Mavic Mach2;603;0
700C  Mavic Montlhery Pro;616;0
700C  Mavic OR7;615;0
700C  Mavic Paris Roubaix SSC (ERD is Mavic's Nipple Seat Dia + 3mm for nipples);615;0
700C  Mavic Piste (track);617;0
700C  Mavic Reflex;613;0
700C  Mavic Reflex;616;0
700C  Mavic Reflex;613;0
700C  Mavic Reflex;616;0
700C  Mavic Reflex;613;0
700C  Mavic Reflex;616;0
700C  Nisi AN-85;617;0
700C  Nisi Countach;617;0
700C  Nisi G-27;618;0
700C  Nisi Sludi Mod 290;618;0
700C  Nisi Sludi Mod 320;618;0
700C  Nisi Solidal;617;0
700C  Performance A19T ;603;0
700C  Rolf Vector Pro, Araya made. For Greer internal nipples + 4mm washers;608.1;0
700C  Rolf Vector Pro, Trek made. For Greer internal nipples, no washers;603.7;0
700C  Saavedra aero;608;0
700C  Saturae:  All greay anodized models;618;0
700C  Sun Buzz Road (carbon, alu brake track);556;0
700C  Sun Buzz Special Event (carbon, no brake track);556;0
700C  Sun M17A (tubular);613;0
